,Season,Episode,Title,Date Aired
0,9,1,Week 1,2013-05-27
1,9,2,Week 2,2013-06-03
2,9,3,Week 3,2013-06-10
3,9,4,Week 4,2013-06-17
4,9,5,Week 5,2013-06-24
5,9,6,Week 6,2013-07-01
6,9,7,Week 7,2013-07-08
7,9,8,Week 8,2013-07-15
8,9,9,The Men Tell All,2013-07-22
9,9,10,Week 9,2013-07-29
10,9,11,Week 10,2013-08-05
11,9,12,After the Final Rose,2013-08-05
12,10,1,Week 1,2014-05-19
13,10,2,Week 2,2014-05-26
14,10,3,Week 3,2014-06-01
15,10,4,Week 4,2014-06-02
16,10,5,The Journey So Far,2014-06-09
17,10,6,Week 5,2014-06-16
18,10,7,Week 6,2014-06-23
19,10,8,Week 7,2014-06-30
20,10,9,Week 8,2014-07-07
21,10,10,Week 9,2014-07-14
22,10,11,The Men Tell All,2014-07-21
23,10,12,Week 10,2014-07-28
24,10,13,After the Final Rose,2014-07-28
25,11,1,"Week 1, Part 1",2015-05-18
26,11,2,"Week 1, Part 2",2015-05-19
27,11,3,Week 2,2015-05-25
28,11,4,Week 3,2015-06-01
29,11,5,Week 4,2015-06-08
30,11,6,Week 5,2015-06-15
31,11,7,Week 6,2015-06-22
32,11,8,Week 7,2015-06-29
33,11,9,Week 8,2015-07-06
34,11,10,Week 9,2015-07-13
35,11,11,The Men Tell All,2015-07-20
36,11,12,Week 10,2015-07-27
37,11,13,After the Final Rose,2015-07-27
38,12,1,Week 1,2016-05-23
39,12,2,Week 2,2016-05-30
40,12,3,"Week 3, Pt.1",2016-06-06
41,12,4,"Week 3, Pt.2",2016-06-07
42,12,5,Week 4,2016-06-20
43,12,6,Week 5,2016-06-27
44,12,7,Week 6,2016-07-11
45,12,8,Week 7,2016-07-18
46,12,9,Week 8,2016-07-25
47,12,10,The Men Tell All,2016-07-26
48,12,11,Week 9,2016-08-01
49,12,12,After the Final Rose,2016-08-01
50,13,1,Week 1,2017-05-22
51,13,2,Week 2,2017-05-29
52,13,3,Week 3,2017-06-05
53,13,4,Week 4,2017-06-19
54,13,5,Week 5,2017-06-26
55,13,6,Week 5,2017-06-27
56,13,7,Week 6,2017-07-10
57,13,8,Week 7,2017-07-17
58,13,9,Week 8,2017-07-24
59,13,10,The Men Tell All,2017-07-31
60,13,11,Week 9,2017-08-07
61,14,1,Week 1,2018-05-28
62,14,2,Week 2,2018-06-04
63,14,3,Week 3,2018-06-11
64,14,4,Week 4,2018-06-18
65,14,5,Week 5,2018-06-25
66,14,6,Week 6,2018-07-02
67,14,7,Week 7,2018-07-09
68,14,8,Week 8,2018-07-16
69,14,9,Week 9,2018-07-23
70,14,10,The Men Tell All,2018-07-30
71,14,11,Week 10,2018-08-06
72,15,1,Week 1,2019-05-13
73,15,2,Week 2,2019-05-20
74,15,3,Week 3,2019-05-27
75,15,4,Week 4,2019-06-03
76,15,5,Week 5,2019-06-11
77,15,6,"Week 5, Part 2 and The Journey So Far",2019-06-17
78,15,7,Week 6,2019-06-24
79,15,8,Week 7,2019-07-01
80,15,9,Week 8,2019-07-08
81,15,10,Week 9,2019-07-15
82,15,11,The Men Tell All,2019-07-22
83,15,12,Week 10,2019-07-29
84,15,13,After the Final Rose,2019-07-30
85,16,1,Week 1,2020-10-13
86,16,2,Week 2,2020-10-20
87,16,3,Week 3,2020-10-27
88,16,4,Week 4,2020-11-05
89,16,5,Week 5,2020-11-10
90,16,6,Week 6,2020-11-17
91,16,7,Week 7,2020-11-24
92,16,8,Week 8,2020-12-01
93,16,9,Week 9,2020-12-08
94,16,10,Week 10,2020-12-14
95,16,11,Week 11,2020-12-15
96,16,12,Week 12,2020-12-21
97,16,13,Week 13,2020-12-22
98,17,1,Week 1,2021-06-07
99,17,2,Week 2,2021-06-14
100,17,3,Week 3,2021-06-21
101,17,4,Week 4,2021-06-28
102,17,5,Week 5,2021-07-05
103,17,6,Week 6,2021-07-12
104,17,7,Week 7,2021-07-19
105,17,8,Week 8,2021-07-26
106,17,9,Week 9,2021-08-02
107,17,10,Week 10,2021-08-09
108,18,1,Week 1,2021-10-19
109,18,2,Week 2,2021-10-26
110,18,3,Week 3,2021-11-02
111,18,4,Week 4,2021-11-09
112,18,5,Week 5,2021-11-16
113,18,6,Week 6,2021-11-23
114,18,7,Week 7,2021-11-30
115,18,8,The Men Tell All,2021-12-06
116,18,9,Week 8,2021-12-14
117,18,10,Week 9,2021-12-21
118,18,11,After the Final Rose,2021-12-21
