,Text,Season,Date,Sentiment Analysis
0,BYE MARTIN I HOPE THE DOOR HITS YOU ON THE WAY OUT FUCKYOU ,18,11/30/21,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}"
1,Wow just getting caught up on  and man Michelle is just getting no respect from these guys Like none,18,11/30/21,"{'neg': 0.083, 'neu': 0.564, 'pos': 0.353, 'compound': 0.802}"
2,,18,11/30/21,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
3, yo fuck Martin toxic ass bitch,18,11/30/21,"{'neg': 0.783, 'neu': 0.217, 'pos': 0.0, 'compound': -0.8957}"
4,Martin walked so Chris S Could run ,18,11/30/21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5, Bachelorette Spoilers Who did Michelle Young pick as her winner amp runner up Who ended up as,18,11/30/21,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.5859}"
6,We need  back on Monday nights,18,11/30/21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,if you re not sweating are you actually working out go challenge Tylerjcameron3 and get to the top of that leaderb,18,11/30/21,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.2732}"
8,thebachelorette kaitlynbristowe,18,11/30/21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,Ahmed and Rodney have a secret handshake ,18,11/30/21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,Someone s getting laid BachelorNation theBachelorette,18,11/29/21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,Going into hometowns here are the thebachelorette draft scores,18,11/29/21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,The tag line for this season s thebachelorette should have been Too much vocal fry and not nearly enough birds,18,11/29/21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,Olu ,18,11/29/21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,Martin is nuts ,18,11/29/21,"{'neg': 0.535, 'neu': 0.465, 'pos': 0.0, 'compound': -0.3182}"
15,Well look who it is Michelle is joined by Bri and Serena tomorrow on ,18,11/29/21,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.2732}"
16,Michelle s parents are SOOOOO cute ,18,11/29/21,"{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.4588}"
17,Sorry to hear you had to go through surgery At least you re home safe Maybe are unab,18,11/29/21,"{'neg': 0.064, 'neu': 0.792, 'pos': 0.144, 'compound': 0.3818}"
18,Brandon sounds like he can sing ,18,11/29/21,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}"
19,Brandon looks like a lead singer in an all boys band ,18,11/29/21,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}"
20,team brandon ,18,11/29/21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
21,Brandon looks more like a friend than a husband ,18,11/29/21,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.7408}"
